Name,ID,,Location
Berthoud Pass,GHCND:USS0005K14S,,"BERTHOUD SUMMIT, CO US"
Jones pass,GHCND:USS0005K21S,,"JONES PASS, CO US"
Evergreen/echo Mountain,GHCND:US1COJF0551,,"EVERGREEN 2.6 S, CO US"
Loveland pass,GHCND:USS0005K09S,,"GRIZZLY PEAK, CO US"
Vail,GHCND:US1COEG0021,,"VAIL 0.9 WNW, CO US"
Avon,GHCND:US1COEG0031,,"AVON 1.1 SE, CO US"
Aspen,GHCND:USC00050372,,"ASPEN 1 SW, CO US"
Copper/vail pass,GHCND:USS0006K24S,,"COPPER MOUNTAIN, CO US"
Rabit Ears Pass,GHCND:USS0006J09S,,"RABBIT EARS, CO US"
Steamboat Resort,GHCND:US1CORT0043,,"RABBIT EARS 2, CO US"
Telluride Resort,GHCND:USC00058204,,"TELLURIDE 4 WNW, CO US"
Wolf Creek Resort,GHCND:USS0006M17S,,"WOLF CREEK SUMMIT, CO US"